date	2007	2008	2009	2010	2011	2012	2013
01	4.5	4.2	4.9	5.3	5.1	5.1	5.4		
02	4.6	4.0	5.3	5.3	5.0	5.2	5.4
03	4.4	4.1	5.7	5.4	4.9	5.2	5.6
04	4.4	4.3	5.5	5.5	4.9	5.0	5.6
05	4.3	4.3	5.8	5.2	5.0	5.2	5.6
06	4.3	4.3	5.9	5.2	5.0	5.2	5.7
07	4.3	4.3	5.8	5.3	5.1	5.2
08	4.3	4.1	5.8	5.1	5.3	5.1
09	4.2	4.3	5.7	5.1	5.2	5.5
10	4.3	4.3	5.6	5.3	5.2	5.4
11	4.5	4.5	5.6	5.1	5.2	5.3
12	4.3	4.6	5.5	5.9	5.2	5.4
