date	2007	2008	2009	2010	2011	2012	2013
20070101	4.5	4.2	4.9	5.3	5.1	5.1	5.4		
20070201	4.6	4.0	5.3	5.3	5.0	5.2	5.4
20070301	4.4	4.1	5.7	5.4	4.9	5.2	5.6
20070401	4.4	4.3	5.5	5.5	4.9	5.0	5.6
20070501	4.3	4.3	5.8	5.2	5.0	5.2	5.6
20070601	4.3	4.3	5.9	5.2	5.0	5.2	5.7
20070701	4.3	4.3	5.8	5.3	5.1	5.2
20070801	4.3	4.1	5.8	5.1	5.3	5.1
20070901	4.2	4.3	5.7	5.1	5.2	5.5
20071001	4.3	4.3	5.6	5.3	5.2	5.4
20071101	4.5	4.5	5.6	5.1	5.2	5.3
20071201	4.3	4.6	5.5	5.9	5.2	5.4
