Zulu;22.7
Xhosa;16
Afrikaans;13.5
English;9.6
Sepedi;9.1
Setswana;8
Sesotho;7.6
Xistonga;4.5
Swati;2.5
Tshivenda;2.4
Ndebele;2.1
Other;2.1
